year,month,GDP grow rate,agriculture,industry,service,GDP real,GDP per capital,CPI,FDI in,FDI out,inflation rate,exchange rate,exchange,export,import,workers,unemployment rate
,,%,%,%,%,billion VND,thousand VND,%,billion USD,billion USD,%,%,VND/USD,milion USD,milion USD,milion people,%
2020,10,4.48,4.69,5.6,4.29,711010,64950,0.09,2.28,2.04,0.31,0,23180,26700,24500,51.59,4.29
2020,11,4.15,4.93,5.33,0.25,701421,65000,-0.01,2.95,1.4,0.5,-0.17,23140,24800,24200,51.22,4.33
2020,12,4.76,5.5,6.16,0.35,706703,65122,0.1,2.1,2.78,0.28,-0.3,23070,26500,27500,50.86,4.38
2021,1,4.48,3.16,6.3,3.34,644257,65244,0.06,2.02,1.51,0.02,-0.1,23048,27700,26400,50.5,4.42
2021,2,4.8,3.57,6.58,3.66,638132,65366,1.52,3.44,0.99,0.26,-0.14,23015,20000,20800,50.6,4.28
2021,3,4.96,3.16,6.87,4.51,637832,65489,-0.27,4.67,1.6,0.16,0.26,23074,28600,28200,50.7,4.15
2021,4,6.61,4.11,10.28,4.3,678309,65611,-0.04,2.12,1.4,0.23,-0.09,23054,25500,27000,50.8,4.01
2021,5,7.27,4.11,10.57,4.65,676888,65733,0.16,1.75,1.65,0.2,-0.06,23040,26000,28000,50.9,3.88
2021,6,8.18,4.36,11.79,5.07,685894,65855,0.17,1.27,2.09,0.07,-0.11,23014,26500,27500,51,3.74
2021,7,-6.17,1.04,-5.02,-9.28,664163,65978,0.62,1.43,1.26,0.26,-0.28,22950,27000,28700,51.1,3.61
2021,8,-5.39,1.16,-4.27,-0.92,663455,66100,0.25,2.4,1.08,0.08,-0.76,22775,26200,27500,51.2,3.47
2021,9,-9.13,0.27,-8.73,-1.59,656479,66222,-0.62,3.05,1.7,0.007,-0.11,22750,27000,26500,51.3,3.33
2021,10,5.22,3.16,5.61,5.42,794743,66344,-0.2,1.59,1.87,0.12,0,22750,27300,26200,51.4,3.2
2021,11,3.74,2.77,3.75,-0.22,803410,66467,0.32,2.72,1.95,0.14,-0.27,22688,29900,29800,51.5,3.06
2021,12,6.78,3.32,6.5,-0.44,805292,66571,-0.18,4.69,2.64,0.27,0.6,22825,34517,31975,51.6,2.93
2022,1,5.03,2.45,6.38,4.58,707407,66675,0.19,2.1,1.61,3.15,-0.79,22645,29000,29500,51.7,2.79
2022,2,6.47,2.53,8.17,1.65,712057,66779,1,2.9,1.08,0.2,0.71,22805,22947,25279,51.82,2.65
2022,3,7.12,2.37,9.48,1.37,709951,66883,0.7,3.9,1.72,0.04,0.14,22838,34061,32672,52.15,2.52
2022,4,7.72,3.02,8.87,8.56,762442,66987,0.18,1.9,1.5,0.5,0.54,22962,33258,32189,52.11,2.38
2022,5,8.35,2.98,10.42,5.71,756930,67092,0.38,0.91,1.79,0.43,0.97,23185,30480,32210,52.22,2.25
2022,6,8.97,3.14,11.3,6.44,759319,67196,0.69,2.32,2.35,0.3,0.3,23255,32646,32370,52.34,2.31
2022,7,13.67,3.24,12.91,18.86,792426,67300,0.4,1.51,1.51,1.48,0.34,23335,30323,30302,52.45,2.52
2022,8,15.65,3.3,14.12,17.8,789443,67404,0.01,1.26,1.23,0.3,0.49,23450,33380,30960,52.56,2.63
2022,9,18.31,3.38,15.42,15.2,795545,67508,0.4,1.9,2.6,0.01,1.73,23855,29940,28800,52.68,2.72
2022,10,5.92,3.85,4.22,8.12,890725,67612,0.15,3.76,2.33,0.17,4.13,24840,30270,28000,52.79,2.67
2022,11,8.24,3.92,5.48,7.72,892314,67717,0.39,2.64,1.95,0.17,-0.85,24630,29500,30000,52.91,2.72
2022,12,6.18,4.11,3,3.95,891480,67872,-0.01,2.62,2.72,0.19,-4.14,23610,29660,29160,53.02,2.77
2023,1,3.32,2.52,-0.4,6.79,771683,67984,0.52,1.69,1.35,0.46,-0.7,23445,25080,21480,53.14,2.82
2023,2,0.99,2.65,-1.01,4.71,759785,68096,0.45,1.41,1.2,0.42,1.26,23740,25880,23580,53.25,2.87
2023,3,-1.47,2.27,-2.64,3.93,764030,68208,-0.23,2.35,1.75,0.76,-1.22,23450,29570,28920,53.37,2.92
2023,4,4.14,3.25,2.5,6.11,821834,68320,-0.34,3.43,1.55,0.36,0,23450,27540,26030,53.48,2.97
2023,5,1.75,2.29,-2.04,4.68,809365,68432,0.01,1.98,1.8,0.28,0.15,23485,29050,26810,53.59,3.01
2023,6,1.75,2.05,-2.95,4.4,822818,68544,0.27,2.57,2.37,0.26,0.38,23575,29300,26710,53.71,3.06
2023,7,0.15,1.82,-3.85,4.12,769274,68656,0.45,2.81,1.56,0.33,0.45,23680,29680,27530,53.82,3.11
2023,8,-1.05,1.58,-4.76,4.36,758151,68768,0.88,1.91,1.52,0.007,1.6,24060,32370,28550,53.94,3.16
2023,9,-2.24,1.35,-5.67,4.28,747027,68880,1.08,2.06,2.8,0.38,0.91,24280,31410,29120,54.05,3.21
